Fclt Organization Key,Organization Id,Organization,Organization Name,Fclt Org Parent Key,Org Parent,Fclt Major Org Key,Major Org,Organization Level,Organization Number,Organization Sort,Assignable,Course,Description,Warehouse Load Date,Dlc Key,Dlc Name,Hr Department Code Old,Hr Org Unit Id,Hr Department Name
243,243,S ENG,SCH OF ENGINEER,230,PROVST,PROVST,060000,4,060000,0101060051,1,"","",01/08/16 05:13 AM,D_DOE,Dean of Engineering,060000,10000284,School of Engineering
244,244,S H&SS,SCH OF HUM & S S,230,PROVST,PROVST,090000,4,090000,0101060135,1,"","",01/08/16 05:13 AM,D_DHSS,Dean of Humanities & Social Sciences,090000,10000357,"School of Humanities, Arts, & Social Sci"
245,245,S MGMT,SCH OF MANAGEMNT,230,PROVST,PROVST,000031,4,121000,0101060156,1,15,"",01/08/16 05:13 AM,D_SLOAN,Sloan School of Management,121000,10000378,Sloan School of Management
246,246,S SCI,SCH OF SCIENCE,230,PROVST,PROVST,150000,4,150000,0101060162,1,"","",01/08/16 05:13 AM,D_DEANSCI,Dean Of Science,150000,10000426,School of Science
247,247,SAP,SCH OF ARCH & PL,230,PROVST,PROVST,030000,4,030000,0101060033,1,"","",01/08/16 05:13 AM,D_DEANARCH,Dean of Architecture,030000,10000267,School of Architecture & Planning
248,248,SEAGRT,SEA GRANT,230,MECH,PROVST,266300,6,266300,0101060123,1,"","",01/08/16 05:13 AM,D_MECHE,Mechanical Engineering,266300,10000577,MIT Sea Grant College Program
249,249,SINGAP,SINGAPORE/MIT,230,S ENG,PROVST,068200,5,068200,0101060132,1,"","",01/08/16 05:13 AM,D_SMA,Singapore/MIT Alliance,068200,10000334,Singapore/MIT Alliance
250,250,SPEC L,SPECTROSCOPY LAB,230,S SCI,PROVST,159500,5,159500,0101060198,1,"","",01/08/16 05:13 AM,D_SPEC,Spectroscopy Laboratory,159500,10000543,Spectroscopy Laboratory
251,251,SSRCTR,SOCIOTECH SYS RSCH CTR,230,S ENG,PROVST,069400,5,069400,0101060072,1,"",MIT Socio-technical Systems Research Center,01/08/16 05:13 AM,D_SSRC,Sociotechnical Systems Research Center,069400,10000349,Sociotechnical Systems Research Center
252,252,SSSV,STUDENT SUPP SV,129,DUE,CHNCLR,441200,5,441200,0101030426,1,"","",01/08/16 05:13 AM,D_SSS,Student Support Services,441200,10000729,Student Support Services
253,253,ST&S,SCI TECH&SOCIETY,230,S H&SS,PROVST,097000,5,097000,0101060153,1,STS,"",01/08/16 05:13 AM,D_STS,"Program In Science, Technology & Society",097000,10000370,"Prog in Science, Technology, & Society"
254,254,STUACT,STU ACTIVITIES,129,DSL,CHNCLR,441600,5,441600,0101030330,1,"","",01/08/16 05:13 AM,D_SLP,Student Life Programs,441600,10002535,Student Activities
255,255,STUFIN,STU FINANCE SVCS,129,DUE,CHNCLR,449000,5,449000,0101030430,1,"","",01/08/16 05:13 AM,D_SFS,Student Financial Services,449000,10000768,Student Financial Services
256,256,STUSVC,STU SERVICES CTR,129,DUE,CHNCLR,447000,5,449000,0101030433,1,"","",01/08/16 05:13 AM,D_SFS,Student Financial Services,449000,10000768,Student Financial Services
257,257,T&LL,TEACH & LRN LAB,129,DUE,CHNCLR,441700,5,441700,0101030435,1,"","",01/08/16 05:13 AM,D_TLL,Teaching and Learning Lab,441700,10000743,Teaching & Learning Laboratory
258,258,TCHREV,TECHNOLOGY REVIEW,271,ZORG,ZORG,876000,4,876000,0101120010,1,"","",01/08/16 05:13 AM,D_TECHREVIEW,Technology Review,876000,10000920,Technology Review
259,259,TERRAS,TERRASCOPE,129,DUE,CHNCLR,060085,5,060085,0101030437,1,"","",01/08/16 05:13 AM,D_ISP,Integrated Studies Program,060085,10000289,Terrascope
260,260,TPP,TECH & POLICY PRGM,230,S ENG,PROVST,069900,5,069900,0101060133,1,"","",01/08/16 05:13 AM,D_TPP,Technology & Policy Program,069900,10000356,Technology and Policy Program
261,261,UA&AP,UND ADV&ACAD PR,129,DUE,CHNCLR,444000,5,444000,0101030439,1,"","",01/08/16 05:13 AM,D_UAAP,Undergraduate Advising and Academic Programs,444000,10002634,Undergraduate Advising and Academic Prog
262,262,US&P,URBAN ST & PLAN,230,SAP,PROVST,035000,5,035000,0101060048,1,11,"",01/08/16 05:13 AM,D_DUSP,Urban Studies & Planning,035000,10000273,Urban Studies & Planning
263,263,VP-DEV,VP-RESOURCE DEV,163,EXECVP,EXECVP,410000,4,410000,0101030675,1,"","",01/08/16 05:13 AM,D_RESDEV,Vice President for Resource Development,410000,10000658,Vice Pres for Resource Development
264,264,VP-FIN,VP-FINANCE,163,EXECVP,EXECVP,422200,4,407000,0101030657,1,"","",01/08/16 05:13 AM,D_VPFINANCE,Vice President for Finance,407000,10003058,Office of the Vice President for Finance
265,265,VP-HUM,VP-HUMAN RES,163,EXECVP,EXECVP,409100,4,409100,0101030660,1,"","",01/08/16 05:13 AM,D_HR,Human Resources Department,409100,10000655,Vice President for Human Resources
266,266,VP-RES,VP-RSCH,230,PROVST,PROVST,401860,4,401860,0101060204,1,"","",01/08/16 05:13 AM,D_VPRESOFF,Office of the Vice President of Research,401860,10000935,VP & Dean for Research
267,267,VP-SCP,VP &SCTY OF CORP,267,PRES,VP-SCP,402500,4,402500,0101090003,1,"","",01/08/16 05:13 AM,D_VP_SEC_CORP,VP and Secretary of the Corporation,402500,10000615,Secretary of the Corporation
268,268,W&G ST,WOMEN & GENDER STUDIES,230,S H&SS,PROVST,090010,5,090010,0101060154,1,21,"",01/08/16 05:13 AM,D_CMS,Comparative Media Studies/Writing,090010,10004384,MIT Program in Women's & Gender Studies
269,269,WALLAC,WALLACE ASTRO OB,230,VP-RES,PROVST,150200,5,153000,0101060242,1,"","",01/08/16 05:13 AM,D_WALLACE,Wallace Observatory,153000,10000527,"Earth, Atmospheric &  Planetary Sciences"
271,271,ZORG,ZORG ICR ONLY,271,PRES,ZORG,"",3,"",0101120000,1,"","",01/08/16 05:13 AM,D_UNDEF,Undefined - no DLC,"","",""
272,272,OCR,OFFICE OF CORPORATE RELATIONS,230,APROV,PROVST,413000,5,413000,0101060005,1,"",Office Of Corporate Relations,01/08/16 05:13 AM,D_RESDEV,Vice President for Resource Development,413000,10000671,Corporate Relations/Indust Liaison Prog
